Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.904811	-0.904811
1	0.950747	750	-0.894538	-1.799349
2	0.926679	750	-0.885667	-2.685016
3	0.902980	750	-0.868162	-3.553178
4	0.879648	750	-0.854729	-4.407907
5	0.856682	750	-0.850688	-5.258595
6	0.834079	750	-0.827423	-6.086018
7	0.811838	750	-0.824022	-6.910040
8	0.789957	750	-0.807822	-7.717862
9	0.768433	750	-0.812730	-8.530592
10	0.747266	750	-0.794855	-9.325447
11	0.726452	750	-0.799571	-10.125017
12	0.705989	750	-0.770454	-10.895472
13	0.685877	750	-0.760852	-11.656324
14	0.666112	750	-0.746175	-12.402499
15	0.646693	750	-0.741791	-13.144290
16	0.627618	750	-0.738239	-13.882529
17	0.608884	750	-0.717793	-14.600321
18	0.590490	750	-0.719737	-15.320059
19	0.572433	750	-0.692841	-16.012899
20	0.554712	750	-0.691198	-16.704097
21	0.537324	750	-0.670047	-17.374144
22	0.520268	750	-0.648029	-18.022173
23	0.503540	750	-0.659896	-18.682069
24	0.487139	750	-0.642287	-19.324356
25	0.471063	750	-0.646135	-19.970491
26	0.455310	750	-0.646317	-20.616808
27	0.439877	750	-0.610503	-21.227311
28	0.424762	750	-0.606530	-21.833841
29	0.409963	750	-0.609331	-22.443172
30	0.395478	750	-0.582756	-23.025927
31	0.381305	750	-0.574359	-23.600286
32	0.367440	750	-0.572545	-24.172831
33	0.353883	750	-0.564736	-24.737567
34	0.340630	750	-0.544383	-25.281950
35	0.327680	750	-0.528547	-25.810497
36	0.315030	750	-0.539020	-26.349517
37	0.302677	750	-0.521551	-26.871068
38	0.290619	750	-0.520870	-27.391938
39	0.278855	750	-0.487591	-27.879530
40	0.267381	750	-0.478676	-28.358206
41	0.256195	750	-0.468905	-28.827111
42	0.245294	750	-0.493507	-29.320618
43	0.234677	750	-0.458127	-29.778745
44	0.224340	750	-0.454044	-30.232789
45	0.214281	750	-0.442480	-30.675269
46	0.204498	750	-0.442377	-31.117646
47	0.194988	750	-0.419143	-31.536790
48	0.185749	750	-0.414855	-31.951644
49	0.176777	750	-0.420468	-32.372112
50	0.168070	750	-0.388024	-32.760136
51	0.159626	750	-0.390780	-33.150916
52	0.151441	750	-0.393138	-33.544054
53	0.143514	750	-0.380933	-33.924987
54	0.135841	750	-0.352866	-34.277853
55	0.128420	750	-0.349350	-34.627204
56	0.121247	750	-0.320340	-34.947544
57	0.114320	750	-0.334569	-35.282113
58	0.107637	750	-0.324967	-35.607081
59	0.101193	750	-0.314108	-35.921188
60	0.094986	750	-0.321537	-36.242726
61	0.089014	750	-0.299877	-36.542603
62	0.083273	750	-0.291680	-36.834283
63	0.077760	750	-0.279539	-37.113822
64	0.072472	750	-0.279934	-37.393756
65	0.067406	750	-0.275947	-37.669703
66	0.062558	750	-0.269312	-37.939014
67	0.057926	750	-0.248425	-38.187439
68	0.053506	750	-0.227645	-38.415084
69	0.049295	750	-0.240905	-38.655989
70	0.045289	750	-0.233404	-38.889392
71	0.041485	750	-0.209781	-39.099173
72	0.037880	750	-0.218865	-39.318038
73	0.034469	750	-0.199545	-39.517583
74	0.031250	750	-0.183176	-39.700759
75	0.028218	750	-0.167093	-39.867852
76	0.025370	750	-0.157952	-40.025804
77	0.022702	750	-0.170256	-40.196060
78	0.020209	750	-0.152261	-40.348321
79	0.017889	750	-0.145216	-40.493538
80	0.015736	750	-0.125307	-40.618845
81	0.013746	750	-0.112994	-40.731838
82	0.011916	750	-0.111676	-40.843514
83	0.010240	750	-0.113190	-40.956704
84	0.008714	750	-0.095555	-41.052259
85	0.007334	750	-0.090153	-41.142413
86	0.006093	750	-0.081719	-41.224132
87	0.004988	750	-0.066988	-41.291120
88	0.004013	750	-0.060124	-41.351243
89	0.003162	750	-0.050165	-41.401408
90	0.002430	750	-0.048432	-41.449840
91	0.001810	750	-0.040878	-41.490718
92	0.001296	750	-0.032168	-41.522886
93	0.000882	750	-0.024858	-41.547745
94	0.000559	750	-0.020661	-41.568406
95	0.000320	750	-0.015051	-41.583457
96	0.000156	750	-0.009876	-41.593333
97	0.000057	750	-0.005542	-41.598874
98	0.000010	750	-0.003018	-41.601892
99	0.000000	750	-0.000638	-41.602530
Log marginal likelihood:	-41.602530
